corporate_identification_number,company_name,registered_state,paidup_capital,rank
U19201PY2007PTC002022,LES ATELIERS DE PONDICHERRY PRIVATELIMITED,Pondicherry,883000000,3
U72900PY1996PTC002941,EATON POWER QUALITY PRIVATE LIMITED,Pondicherry,817268910,4
U31200PY2006PTC002617,POCLAIN HYDRAULICS PRIVATE LIMITED,Pondicherry,596952000,5
L24231PB1961PLC003747,RANBAXY LABORATORIES LTD,Punjab,2128317485,1
L17117PB1946PLC004565,J C T LIMITED,Punjab,2096066470,2
U32105PB1978GOI003798,SEMICONDUCTOR COMPLEX LIMITED,Punjab,1884150000,3
U70100PB2003PTC026502,QUARKCITY INDIA PRIVATE LIMITED,Punjab,1863913500,4
U15419PB1989PTC009114,PEPSI FOODS PRIVATE LIMITED,Punjab,1854060920,5
U13100RJ1969SGC001263,RAJASTHAN STATE INDUSTRIAL DEVELOPMENTAND INVESTMENT CORPORATION LTD,Rajasthan,2101858000,1
U75144RJ2016SGC049590,JAIPUR SMART CITY LIMITED,Rajasthan,2000000000,2
U75144RJ2016SGC049591,UDAIPUR SMART CITY LIMITED,Rajasthan,2000000000,2
U75232RJ2016SGC056440,KOTA SMART CITY LIMITED,Rajasthan,2000000000,2
L26943RJ1993PLC007267,UDAIPUR CEMENT WORKS LIMITED,Rajasthan,1955639268,3
U50500RJ2006PTC066824,NISSIN BRAKE INDIA PRIVATE LIMITED.,Rajasthan,1879259750,4
U74999RJ2016PTC056248,ACCELARATING EDUCATION AND DEVELOPMENTPRIVATE LIMITED,Rajasthan,1855000000,5
U63030SK2016PTC013231,TRIP OF LIFETIME TRAVELTREK PRIVATELIMITED,Sikkim,100000,1
U74999SK2016PTC013232,PANDIM ONLINE SOLUTIONS PRIVATE LIMITED,Sikkim,100000,1
U65929TN2010PLC078004,SHRIRAM HOUSING FINANCE LIMITED,Tamil Nadu,2141600000,1
U70102TN2006FTC061907,ONEHUB (CHENNAI) PRIVATE LIMITED,Tamil Nadu,2122832070,2
U93090TN1998PTC040720,DORMAKABA INDIA PRIVATE LIMITED,Tamil Nadu,2112070120,3
U40102TN2006PTC060009,COASTAL ENERGEN PRIVATE LIMITED,Tamil Nadu,2109042350,4
U85110TN1994PTC029023,MEDALL HEALTHCARE PRIVATE LIMITED,Tamil Nadu,2093207320,5
U45200TG2005PTC096719,JADCHERLA EXPRESSWAYS PRIVATE LIMITED,Telangana,2100402530,1
U40108TG2012PTC081503,MYTRAH VAYU (MANJIRA) PRIVATE LIMITED,Telangana,2084506870,2
U45200TG2006PTC051559,ADITYA HOUSING & INFRASTRUCTUREDEVELOPMENT CORPORATION PRIVATE LIMITED,Telangana,2060000000,3
U45200TG2004PLC043015,GKC PROJECTS LIMITED,Telangana,2050787020,4
U45200TG2006PLC051999,DECCAN INFRASTRUCTURE AND LAND HOLDINGSLIMITED,Telangana,2000000000,5
U40106TG2008PLC058560,NAVA BHARAT ENERGY INDIA LIMITED,Telangana,2000000000,5
U17119TR1974SGC001589,TRIPURA JUTE MILLS LIMITED,Tripura,1110401000,1
U17113TR1974SGC001573,TRIPURA HANDLOOM & HANDICRAFTSDEVELOPMENT CORPORATION LIMITED,Tripura,617411400,2
U75123TR1965SGC001248,TRIPURA SMALL INDUSTRIES CORPORATIONLIMITED,Tripura,550581600,3
U01132TR1980SGC001831,TRIPURA TEA DEVELOPMENT CORPORATIONLIMITED,Tripura,461467500,4
U23201TR1990SGC003451,TRIPURA NATURAL GAS CO LTD,Tripura,300000000,5
L34101UP1972PLC003612,LML LIMITED,Uttar Pradesh,2004095100,1
U65110UP2002PLC026986,SAHARA CARE LIMITED,Uttar Pradesh,2000000000,2
U74900UP2008PLC035742,RAJ CORPORATION LIMITED,Uttar Pradesh,1995444000,3
U15142UP1980PTC004933,"KANCHAN,S BAKERS PRIVATE LIMITED",Uttar Pradesh,1903000000,4
U24110UP1998PLC029591,JUBILANT BIOSYS LIMITED,Uttar Pradesh,1870613000,5
U55101UR2009PTC032889,MAHANANDA SPA AND RESORTS PRIVATELIMITED,Uttaranchal,1354921350,1
U15549UR2009PTC032841,SHEEL OIL & FATS PRIVATE LIMITED,Uttaranchal,1169474510,2
U63000UR2013PLC000605,SIDCUL CONCOR INFRA COMPANY LIMITED,Uttaranchal,1000000000,3
U40102UR2006PLC032491,BHILANGANA HYDRO POWER LIMITED,Uttaranchal,821375470,4
U65923UR1922PLC000234,THE NAINITAL BANK LIMITED,Uttaranchal,775000000,5
U51909WB1995PLC072045,CONCAST STEEL & POWER LIMITED,West Bengal,2132178800,1
U23109WB2003PLC097375,BHARAT NRE COKE LIMITED,West Bengal,2116915590,2
U74140WB1961SGC025037,THE WEST BENGAL SMALL INDUSTRIESDEVELOPMENT CORPN LIMITED,West Bengal,2116258700,3
U70109WB1981PTC033872,FORUM PROJECTS PRIVATE LIMITED,West Bengal,2019346000,4
U32202WB1995PLC069502,USHA MARTIN TELEMATICS LTD,West Bengal,1975954440,5
